fuzzyInput,left,centre, right,fuzzyOutput,fuzzyInterval
-0.29,160.76,53.79,11.02,-0.43,0.160639286
-0.29,160.76,53.79,11.02,-0.43,0.013746977
-0.29,160.76,53.79,11.02,-0.43,0.013394594
-0.29,166.19,53.79,11.02,-0.43,0.15632391
-0.29,166.19,66.65,11.09,-0.43,0.163098097
-0.29,166.19,66.65,11.09,-0.43,0.158610344
-0.29,166.19,66.65,11.09,-0.43,0.013754129
-0.29,166.19,66.65,11.09,-0.43,0.013699055
-0.29,299.72,66.65,11.09,-0.43,0.151480913
-0.29,299.72,66.65,11.09,-0.43,0.013536453
-0.29,299.72,60.47,10.84,-0.43,0.166820765
-0.29,299.72,60.47,10.84,-0.43,0.15141654
-0.29,299.72,60.47,10.84,-0.43,0.01372838
-0.29,299.72,60.47,10.84,-0.43,0.014363766
-0.29,400,60.47,10.84,-0.43,0.179645777
-0.29,400,60.47,10.84,-0.43,0.013401747
-0.29,400,117.16,10.83,-0.4,0.16909647
-0.29,400,117.16,10.83,-0.4,0.166728973
-0.29,400,117.16,10.83,-0.4,0.014189005
-0.29,266.07,117.16,10.83,-0.4,0.151450157
-0.29,266.07,117.16,10.83,-0.4,0.013524055
-0.29,266.07,177.3,10.86,-0.4,0.172736406
-0.29,266.07,177.3,10.86,-0.4,0.17256546
-0.29,266.07,177.3,10.86,-0.4,0.01362133
-0.29,266.07,177.3,10.86,-0.4,0.017493248
-0.29,133.18,177.3,10.86,-0.4,0.146325827
-0.29,133.18,152.74,10.64,-0.4,0.177778482
-0.29,133.18,152.74,10.64,-0.4,0.155634403
-0.29,133.18,152.74,10.64,-0.4,0.013928413
-0.29,133.18,152.74,10.64,-0.4,0.014004707
-0.29,133.18,152.74,10.64,-0.4,0.014426947
-0.29,104,152.74,10.64,-0.4,0.151097775
-0.29,104,97.26,10.85,-0.43,0.15741539
-0.29,104,97.26,10.85,-0.43,0.147068739
-0.29,104,97.26,10.85,-0.43,0.013733387
-0.29,104,97.26,10.85,-0.43,0.013555288
-0.29,104,97.26,10.85,-0.43,0.013529301
-0.29,120.18,97.26,10.85,-0.43,0.17721796
-0.29,120.18,67.43,10.83,-0.43,0.166339636
-0.29,120.18,67.43,10.83,-0.43,0.149876118
-0.29,120.18,67.43,10.83,-0.43,0.013353586
-0.29,120.18,67.43,10.83,-0.43,0.014970064
-0.29,148.04,67.43,10.83,-0.43,0.150040865
-0.29,148.04,68.86,10.65,-0.43,0.164629698
-0.29,148.04,68.86,10.65,-0.43,0.148582697
-0.29,148.04,68.86,10.65,-0.43,0.014159203
-0.29,148.04,68.86,10.65,-0.43,0.013988256
-0.29,131.48,68.86,10.65,-0.43,0.150976181
-0.29,131.48,69.25,10.65,-0.43,0.015492201
-0.29,131.48,69.25,10.97,-0.43,0.143884182
-0.29,131.48,69.25,10.97,-0.43,0.144469261
-0.29,131.48,69.25,10.97,-0.43,0.013354301
-0.29,131.48,69.25,10.97,-0.43,0.013349295
-0.29,133.41,69.25,10.97,-0.43,0.147507191
-0.43,133.41,73.35,11.13,-0.4,0.160905361
-0.29,133.41,73.35,11.13,-0.43,0.151846647
